"","x"
"1",0.49158737179639
"2",0.474660837255401
"3",0.535646993085325
"4",0.418379229324566
"5",0.776417219714873
"6",0.460945673865467
"7",0.802278717274861
"8",0.370058576265291
"9",0.733168061078589
"10",0.504623332825775
"11",0.620800676202408
"12",0.720869297201259
"13",0.454988197566578
"14",0.637535368594156
"15",0.592934038149945
"16",0.42314166816349
"17",0.691185070509163
"18",0.236062601485588
"19",0.844129635363403
"20",0.789154996418904
"21",0.568112085411587
"22",0.531651861995317
"23",0.65485739729
"24",0.523255010163559
"25",0.569119397278929
"26",0.636334161071676
"27",0.585033926775455
"28",0.870406290065323
"29",0.546913421748155
"30",0.461598993130677
"31",0.420927411596555
"32",0.51050427989591
"33",0.445936298478477
"34",0.749430638673889
"35",0.639171308139784
"36",0.583449489310992
"37",0.604389507008413
"38",0.456546992414917
"39",0.97171526422835
"40",0.727877721597347
"41",0.7239834864477
"42",0.626916752589377
"43",0.625171358849351
"44",0.70720407460635
"45",0.668680243524461
"46",0.72341649186321
"47",0.529707665450434
"48",0.801044397185824
"49",0.367036233715746
"50",0.888717606322757
"51",0.587009277323572
"52",0.632740034149895
"53",0.590804255351273
"54",0.466701773207145
"55",0.526241884858052
"56",0.839771644374556
"57",0.927922089314435
"58",0.432913665640785
"59",0.65616976639465
"60",0.514993758598885
"61",0.614280271305074
"62",0.655108741555608
"63",0.518173062154148
"64",0.645426324518254
"65",0.863745814900551
"66",0.429088897189231
"67",0.537094216988968
"68",0.646992840032203
"69",0.659044318588798
"70",0.610686044807877
"71",0.654807652544375
"72",0.573978981214473
"73",0.630038919254114
"74",0.589137792040805
"75",0.744903500922412
"76",0.712347758660175
"77",0.596981655601237
"78",0.807623588785083
"79",0.626940416705128
"80",0.6915189410507
"81",0.636034924742429
"82",0.503161592463594
"83",0.716060354578658
"84",0.307409965000888
"85",0.446859614516109
"86",0.699236458100405
"87",0.796105111989977
"88",0.361737706319871
"89",0.786984986898639
"90",0.389046266213734
"91",0.505713482796454
"92",0.389788831356828
"93",0.571205340234494
"94",0.60776948609799
"95",0.66515500469865
"96",0.533220040778676
"97",0.596892483544057
"98",0.647911103624864
"99",0.44624652735217
"100",0.489137651881705
"101",0.817949220267662
"102",0.133067992292221
"103",0.75113103050042
"104",0.767606129005142
"105",0.813605620881284
"106",0.536508462517919
"107",0.732813603113934
